"TIME","TEMP_P","TEMP_H","PRESS","HUMID","AccX","AccY","AccZ","GyrX","GyrY","GyrZ","MagX","MagY","MagZ"
1521044796.57, 38.8895835876, 41.9842300415, 1045.85058594, -12.9164428711, -0.170810267329, 0.932323515415, 0.343612581491, -0.00341364368796, -0.00302425026894, -0.000689629465342, -9.57486629486, 4.25313329697, -23.8741798401
1521044798.67, 38.9770851135, 42.0200386047, 1045.88476562, -13.0751113892, -0.170810267329, 0.929167211056, 0.338738620281, -0.00416490063071, -0.00295909866691, 0.000210128724575, -9.50717926025, 3.95154500008, -23.9633388519
1521044800.75, 39.0270843506, 42.1453666687, 1045.88916016, -12.947555542, -0.171057105064, 0.931352317333, 0.335326850414, -0.00556299090385, -0.00352223590016, 0.00112942792475, -9.49766921997, 3.9376308918, -23.8400001526
1521044802.85, 39.0020828247, 41.80519104, 1045.83154297, -13.1653327942, -0.172044441104, 0.994478404522, 0.338251203299, -0.00363689661026, -0.00224130600691, -0.000385917723179, -9.43303394318, 3.83349370956, -24.1729106903
1521044804.94, 39.0895843506, 42.0916557312, 1045.75195312, -13.9773330688, -0.169329255819, 0.930138349533, 0.339713394642, -0.00251548364758, -0.000618509948254, 0.00203056074679, -9.0419921875, 3.75638437271, -24.8146419525
1521044807.03, 39.2020835876, 42.2886009216, 1045.80029297, -13.5573310852, -0.171057105064, 0.931595087051, 0.341662973166, 7.69831240177e-05, -0.00168903917074, -0.00220911204815, -8.85563182831, 3.70641279221, -24.5334911346
1521044809.12, 39.2333335876, 42.3781204224, 1045.83789062, -14.104888916, -0.174265965819, 0.933051884174, 0.338251203299, -0.0108462013304, -0.00543845072389, 0.000532871112227, -9.0551776886, 3.92547130585, -24.5543651581
1521044811.21, 39.2833328247, 42.3423118591, 1045.76708984, -13.7502212524, -0.16834191978, 0.939607262611, 0.338738620281, -0.00427447631955, -0.00102758035064, 0.000535300001502, -8.97612953186, 3.75069355965, -25.127166748
1521044813.31, 39.2958335876, 42.2886009216, 1045.73535156, -14.2479972839, -0.16982293129, 0.993749976158, 0.342150390148, -0.00305274501443, -0.00347104296088, -7.5563788414e-05, -8.92325210571, 3.66949605942, -24.7388820648
1521044815.4, 39.3520851135, 42.3602142334, 1045.66503906, -13.7937774658, -0.147607713938, 0.987194597721, 0.136957630515, -0.032130472362, -0.000710010528564, 0.00773348845541, -9.22922992706, 3.79683446884, -23.8799972534
1521044817.49, 39.3979148865, 42.2886009216, 1045.65600586, -14.3817749023, -0.169082418084, 0.932566285133, 0.340931892395, -0.00351779162884, 0.000121183693409, 0.000848947092891, -9.53155326843, 3.58166861534, -24.6598072052
1521044819.58, 39.4208335876, 42.3781204224, 1045.40429688, -14.711555481, -0.130082383752, 0.933294653893, 0.489830642939, -0.0776531249285, -0.00266054645181, 0.0106033887714, -9.75335979462, 3.40560007095, -24.4319801331
1521044821.67, 39.4729156494, 42.3960266113, 1045.58740234, -14.7893333435, -0.190310284495, 0.930866718292, 0.336545348167, 0.000828884541988, -0.0029161311686, -0.000986192375422, -9.77411651611, 3.7651116848, -24.5857563019
1521044823.77, 39.4333343506, 42.3065032959, 1045.52050781, -14.4720001221, -0.176981151104, 0.930623948574, 0.341906696558, -0.000633969902992, -0.00157086923718, 0.000248925760388, -9.46009254456, 3.50102043152, -24.794260025
1521044825.85, 39.3375015259, 42.2886009216, 1045.55737305, -14.7208862305, -0.17327862978, 0.871382534504, 0.342394053936, -0.00273567438126, -0.00063843652606, -5.5555254221e-05, -9.71817398071, 3.51560711861, -24.7965679169
1521044827.95, 39.4187507629, 42.3065032959, 1045.54272461, -14.9168891907, -0.17229129374, 0.932080686092, 0.341906696558, -0.00222463905811, -0.00415057688951, -0.000348139554262, -9.77249908447, 3.60466885567, -25.0129756927
1521044830.04, 39.5354156494, 42.5213546753, 1045.47119141, -15.2746658325, -0.169329255819, 0.931595087051, 0.338982313871, 0.000618375837803, 0.0026418492198, 0.000294527038932, -9.46293067932, 3.74949026108, -24.8277397156
1521044832.13, 39.5687484741, 42.5571594238, 1045.43432617, -15.0568885803, -0.171550780535, 0.932080686092, 0.33752015233, -0.00107377767563, -0.000397071242332, -3.53455543518e-05, -9.50825119019, 3.97085666656, -24.656867981
1521044834.22, 39.6124992371, 42.5213546753, 1045.52636719, -14.2075538635, -0.172044441104, 0.930381178856, 0.342637747526, -0.000950388610363, -0.00332032516599, 0.000562129542232, -9.68161869049, 3.98732948303, -24.8305644989
1521044836.31, 39.7000007629, 42.5750656128, 1046.0546875, -12.7328872681, -0.172044441104, 0.992778837681, 0.340931892395, -0.0036679059267, -0.00294368714094, 0.000568082556129, -9.45183467865, 3.75394773483, -24.7591514587
1521044838.41, 39.7145843506, 42.6287765503, 1046.1171875, -12.3004417419, -0.170069769025, 0.870896995068, 0.338738620281, -0.000231102108955, -0.00198304653168, 0.000273635610938, -9.68391704559, 3.40487122536, -24.2881221771
1521044840.5, 39.7750015259, 42.6645851135, 1046.11621094, -12.6800003052, -0.171057105064, 0.930138349533, 0.338982313871, -0.00323021411896, -0.00074851885438, 0.000269034877419, -9.59507369995, 3.59787631035, -24.8742656708
1521044842.59, 39.8166656494, 42.8078155518, 1046.35742188, -12.6208877563, -0.172044441104, 0.932080686092, 0.337763845921, -0.00122789293528, -0.00128206238151, -2.95452773571e-05, -9.60339832306, 3.86128926277, -24.9361743927
1521044844.68, 39.7249984741, 42.6645851135, 1046.10351562, -14.8702201843, -0.171550780535, 0.932809054852, 0.342150390148, -0.00653211027384, -0.00512238964438, -0.00155447423458, -9.39786243439, 4.09051799774, -24.5430603027
1521044846.74, 39.75, 42.8436279297, 1045.59399414, -15.6728858948, -0.16834191978, 0.991807699203, 0.351654559374, -0.00401479750872, -0.00172274187207, 0.000299112871289, -9.84202194214, 3.82249927521, -25.0623340607
1521044848.83, 39.7104148865, 42.6824874878, 1045.48217773, -15.9404449463, -0.171303927898, 0.932323515415, 0.341419279575, -0.00321002304554, -0.00219318643212, -0.000906988978386, -9.64259624481, 3.79507565498, -24.8658905029
1521044850.93, 39.8208351135, 42.8436279297, 1045.41894531, -15.5297775269, -0.171303927898, 0.931837916374, 0.341175585985, -0.00243000686169, -0.00295044854283, -0.00148255378008, -9.89788818359, 3.76542234421, -25.1782627106
1521044853.01, 39.9416656494, 42.9868583679, 1045.43701172, -15.8626670837, -0.17327862978, 0.930381178856, 0.341175585985, -0.00429176539183, -0.00376529619098, 5.73731958866e-05, -9.51277256012, 3.85228061676, -24.8255596161
1521044855.11, 40.0729179382, 43.1659011841, 1045.38867188, -16.260887146, -0.16982293129, 0.931109547615, 0.340931892395, -0.00371838361025, -0.00208183377981, -0.000235680490732, -9.4425983429, 4.01880884171, -24.4484424591
1521044857.2, 40.125, 43.2196121216, 1045.3737793, -16.4786643982, -0.170563444495, 0.930866718292, 0.341175585985, -0.00503124296665, -0.00492164120078, 6.61239027977e-05, -9.12008476257, 4.01195907593, -24.894329071
1521044859.29, 40.1854171753, 43.291229248, 1045.3503418, -15.0568885803, -0.151557087898, 0.932080686092, 0.340931892395, -0.0022439956665, 0.00897484272718, 0.00426920130849, -9.52589797974, 4.10515499115, -24.7038059235
1521044861.38, 40.1937484741, 43.1838035583, 1045.49658203, -16.0679969788, -0.261892616749, 0.799515962601, 0.201780989766, 0.0201724357903, -0.0147097036242, -0.00161090493202, -9.65805912018, 3.90020513535, -25.1843299866
1521044863.48, 40.0416679382, 43.1121902466, 1045.32202148, -16.447555542, -0.17229129374, 0.931109547615, 0.348486483097, -0.00689323246479, -0.00455260649323, -0.000682931393385, -9.6044511795, 3.88126564026, -25.2354793549
1521044865.57, 40.0291671753, 43.0763778687, 1045.35717773, -15.7195549011, -0.169329255819, 0.931595087051, 0.345805823803, -0.00391329824924, -0.00164439529181, -0.00155493617058, -9.35323524475, 3.60523462296, -25.7611579895
1521044867.66, 40.1395835876, 43.0763778687, 1045.42480469, -16.7368888855, -0.168588742614, 0.930866718292, 0.342394053936, -0.00487976521254, -0.00421500578523, -0.00122742727399, -9.34336090088, 3.71656966209, -25.6116695404
1521044869.75, 40.3958320618, 43.3807487488, 1045.78955078, -9.97955322266, -0.333228141069, 0.977968454361, 0.0548317916691, 0.147531121969, -0.207327693701, -0.0491803511977, -9.0341053009, 7.93398618698, -28.0587787628
1521044871.84, 35.9958343506, 43.3807487488, 1021.01806641, -34.4826660156, -0.213759675622, -0.428175956011, 0.481544971466, 0.0760598778725, -0.484660506248, -0.334149003029, 3.07157278061, 11.2192430496, -31.2363605499
1521044873.94, 40.0708351135, 42.8973388672, 1042.13061523, -8.63244247437, -0.280898958445, 0.0942035168409, 0.39088973403, -0.00671236217022, -0.351797312498, -0.266953825951, 12.9971675873, 15.6851444244, -45.2791633606
1521044876.03, 39.6479148865, 42.0021362305, 1048.88037109, 0.623111724854, -0.226348295808, 0.79781639576, 0.149386167526, -0.0916226357222, -0.0662178322673, 0.0992599055171, 18.1648712158, 19.6120548248, -54.8166770935
1521044878.12, 39.4541664124, 42.037940979, 1047.90039062, -2.60933303833, -0.154272288084, 0.956602752209, 0.0821258351207, -0.141102716327, -0.0613309070468, 0.0219854526222, 20.6712818146, 21.1545143127, -57.4861373901
1521044880.21, 39.4416656494, 42.3781204224, 1045.86083984, -12.6302223206, -0.142917841673, 0.926496505737, 0.334839463234, -0.000593557953835, -0.00564566254616, -0.000906497240067, 21.5431060791, 21.4815368652, -57.6823348999
1521044882.3, 39.6104164124, 42.5750656128, 1045.72192383, -13.0844421387, -0.143658339977, 0.926010847092, 0.335326850414, -0.00105454772711, -0.0026737600565, 0.000920219346881, 22.0109329224, 21.6455688477, -57.5862617493
1521044884.39, 39.6270828247, 42.5034484863, 1045.69897461, -13.1155548096, -0.143164679408, 0.926496505737, 0.334352076054, -0.000682033598423, -0.000734187662601, -0.000597041100264, 22.5795154572, 21.7547855377, -58.1244850159
1521044886.49, 39.6458320618, 42.5034484863, 1045.75073242, -12.3408889771, -0.143658339977, 0.926739215851, 0.334108382463, -0.00241057574749, -0.00126331299543, -0.000297166407108, 22.9874534607, 21.6580181122, -58.5589485168
1521044888.58, 39.6291656494, 42.3781204224, 1045.89428711, -12.8199996948, -0.141683667898, 0.926982045174, 0.33215880394, -0.000769376754761, -0.00328241288662, -0.000898089259863, 22.968875885, 21.768901825, -57.8443412781
1521044890.67, 39.5020828247, 42.2169837952, 1045.89208984, -12.642665863, -0.142177328467, 0.927467644215, 0.340444505215, -0.00276762992144, -0.00197870656848, 1.19209289551e-05, 22.8507480621, 21.9838275909, -57.7378997803
1521044892.76, 39.5062484741, 42.3065032959, 1045.90795898, -14.4377746582, -0.142917841673, 0.926496505737, 0.338494926691, -0.00174432247877, -0.00220075622201, 2.61329114437e-05, 22.9887981415, 21.851442337, -57.8523025513
1521044894.85, 39.2249984741, 42.0737533569, 1045.80908203, -12.4466667175, -0.142671003938, 0.926253676414, 0.335570544004, -0.00165288150311, -0.00122540071607, 4.00617718697e-05, 23.1427173615, 21.757270813, -58.5105285645
1521044896.94, 39.3916664124, 42.4139289856, 1045.80175781, -12.3595542908, -0.143411517143, 0.925768077374, 0.336301654577, -0.00303719937801, -0.00172529369593, 3.79905104637e-05, 23.0185260773, 21.7927970886, -58.2991294861
